Lat	Long	CentroidSize	LogCentroidSize	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	APE	AAE	AWB
-47.25	-67.12	23.820398	3.170542	106	100	46	4406	224	8	216	54	133	160	48	206	26	12	27	75	37	40	66	390	198	-152
-45.43	-67.47	19.537637	2.972343	96	110	48	4485	223	-5	228	64	123	152	38	187	25	10	33	69	32	33	60	479	231	-203
-45.37	-67.38	22.788145	3.126240	103	109	47	4484	229	1	228	70	129	159	45	193	26	10	32	72	33	35	62	479	231	-203
-46.37	-67.59	20.754134	3.032745	119	102	46	4454	242	22	220	67	147	175	61	211	29	11	33	79	36	38	68	443	166	-200
-45.03	-67.1	21.757238	3.079946	103	111	48	4541	230	-1	231	70	103	160	44	184	26	9	35	70	31	34	59	479	231	-203
-45.03	-67.1	22.661822	3.120682	103	111	48	4541	230	-1	231	70	103	160	44	184	26	9	35	70	31	34	59	479	231	-203
-47.25	-67.12	19.901759	2.990808	106	100	46	4406	224	8	216	54	133	160	48	206	26	12	27	75	37	40	66	390	198	-152
-42.73	-69.6	23.761188	3.168053	110	132	48	5086	261	-9	270	50	164	175	44	206	35	7	48	90	27	28	75	539	249	-115
-42.73	-69.6	21.554603	3.070589	110	132	48	5086	261	-9	270	50	164	175	44	206	35	7	48	90	27	28	75	539	249	-115
-43.98	-70.38	21.899282	3.086454	77	119	48	4569	213	-31	244	44	125	135	17	150	21	5	41	57	19	24	51	482	133	-238
-39.55	-70.57	21.522177	3.069084	95	140	54	4705	248	-10	258	42	146	156	36	361	75	8	70	193	32	32	175	629	345	390
-39.55	-70.57	21.754484	3.079820	95	140	54	4705	248	-10	258	42	146	156	36	361	75	8	70	193	32	32	175	629	345	390
-39.55	-70.57	19.220628	2.955984	95	140	54	4705	248	-10	258	42	146	156	36	361	75	8	70	193	32	32	175	629	345	390
-39.55	-70.57	20.295112	3.010380	95	140	54	4705	248	-10	258	42	146	156	36	361	75	8	70	193	32	32	175	629	345	390
-39.55	-70.57	21.095622	3.049066	95	140	54	4705	248	-10	258	42	146	156	36	361	75	8	70	193	32	32	175	629	345	390
-39.55	-70.57	19.201087	2.954967	95	140	54	4705	248	-10	258	42	146	156	36	361	75	8	70	193	32	32	175	629	345	390
-39.55	-70.57	20.478232	3.019362	95	140	54	4705	248	-10	258	42	146	156	36	361	75	8	70	193	32	32	175	629	345	390
-39.55	-70.57	20.998799	3.044465	95	140	54	4705	248	-10	258	42	146	156	36	361	75	8	70	193	32	32	175	629	345	390
-39.55	-70.57	21.115184	3.049992	95	140	54	4705	248	-10	258	42	146	156	36	361	75	8	70	193	32	32	175	629	345	390
